Sher,Response,meaning,en_core_web_lg,en_core_web_md,en_core_web_sm,en_core_web_lg_non_hindi,en_core_web_md_non_hindi,en_core_web_sm_non_hindi
ग़रज़ कि काट दिए ज़िंदगी के दिन ऐ दोस्त वो तेरी याद में हों या तुझे भुलाने में,"{
""sher"": ""गरज़ कि काट दिए ज़िंदगी के दिन ऐ दोस्त वो तेरी याद में हों या तुझे भुलाने में"",
""explanation"": ""The sher means that whether we spend our life's days in remembering you (or in your memory) or in trying to forget you, it's all futile. The phrase 'गरज़ कि काट दिए' implies that our life's days are being cut short (or are wasted) in either remembering you or trying to forget you, which means that our life is being consumed by you. This sher speaks of the futility of trying to forget or remember someone we love, as our life becomes entwined with theirs, and we can't seem to move on.""
}","The sher means that whether we spend our life's days in remembering you (or in your memory) or in trying to forget you, it's all futile. The phrase 'गरज़ कि काट दिए' implies that our life's days are being cut short (or are wasted) in either remembering you or trying to forget you, which means that our life is being consumed by you. This sher speaks of the futility of trying to forget or remember someone we love, as our life becomes entwined with theirs, and we can't seem to move on.","['sher', 'means', 'spend', 'life', 'days', 'remembering', 'memory', 'trying', 'forget', 'futile', 'phrase', 'गरज़', 'कि', 'काट', 'दिए', 'implies', 'life', 'days', 'cut', 'short', 'wasted', 'remembering', 'trying', 'forget', 'means', 'life', 'consumed', 'sher', 'speaks', 'futility', 'trying', 'forget', 'remember', 'love', 'life', 'entwined', 'theirs']","['sher', 'means', 'spend', 'life', 'days', 'remembering', 'memory', 'trying', 'forget', 'futile', 'phrase', 'गरज़', 'कि', 'काट', 'दिए', 'implies', 'life', 'days', 'cut', 'short', 'wasted', 'remembering', 'trying', 'forget', 'means', 'life', 'consumed', 'sher', 'speaks', 'futility', 'trying', 'forget', 'remember', 'love', 'life', 'entwined', 'theirs']","['sher', 'means', 'spend', 'life', 'days', 'remembering', 'memory', 'trying', 'forget', 'futile', 'phrase', 'गरज़', 'कि', 'काट', 'दिए', 'implies', 'life', 'days', 'cut', 'short', 'wasted', 'remembering', 'trying', 'forget', 'means', 'life', 'consumed', 'sher', 'speaks', 'futility', 'trying', 'forget', 'remember', 'love', 'life', 'entwined', 'theirs']","['sher', 'means', 'spend', 'life', 'days', 'remembering', 'memory', 'trying', 'forget', 'futile', 'phrase', 'implies', 'life', 'days', 'cut', 'short', 'wasted', 'remembering', 'trying', 'forget', 'means', 'life', 'consumed', 'sher', 'speaks', 'futility', 'trying', 'forget', 'remember', 'love', 'life', 'entwined', 'theirs']","['sher', 'means', 'spend', 'life', 'days', 'remembering', 'memory', 'trying', 'forget', 'futile', 'phrase', 'implies', 'life', 'days', 'cut', 'short', 'wasted', 'remembering', 'trying', 'forget', 'means', 'life', 'consumed', 'sher', 'speaks', 'futility', 'trying', 'forget', 'remember', 'love', 'life', 'entwined', 'theirs']","['sher', 'means', 'spend', 'life', 'days', 'remembering', 'memory', 'trying', 'forget', 'futile', 'phrase', 'implies', 'life', 'days', 'cut', 'short', 'wasted', 'remembering', 'trying', 'forget', 'means', 'life', 'consumed', 'sher', 'speaks', 'futility', 'trying', 'forget', 'remember', 'love', 'life', 'entwined', 'theirs']"
बे-ख़ुदी बे-सबब नहीं 'ग़ालिब' कुछ तो है जिस की पर्दा-दारी है,"{
""sher"": ""बे-ख़ुदी बे-सबब नहीं 'ग़ालिब' कुछ तो है जिस की पर्दा-दारी है"",
""translation"": ""There is some reason behind my madness, Ghalib, something that is veiled."",
""explanation"": ""The poet Ghalib is saying that his madness or eccentric behavior is not without reason. There is something behind it, something that is hidden from the world, but is guiding his actions.""
}","The poet Ghalib is saying that his madness or eccentric behavior is not without reason. There is something behind it, something that is hidden from the world, but is guiding his actions.","['poet', 'Ghalib', 'saying', 'madness', 'eccentric', 'behavior', 'reason', 'hidden', 'world', 'guiding', 'actions']","['poet', 'Ghalib', 'saying', 'madness', 'eccentric', 'behavior', 'reason', 'hidden', 'world', 'guiding', 'actions']","['poet', 'Ghalib', 'saying', 'madness', 'eccentric', 'behavior', 'reason', 'hidden', 'world', 'guiding', 'actions']","['poet', 'Ghalib', 'saying', 'madness', 'eccentric', 'behavior', 'reason', 'hidden', 'world', 'guiding', 'actions']","['poet', 'Ghalib', 'saying', 'madness', 'eccentric', 'behavior', 'reason', 'hidden', 'world', 'guiding', 'actions']","['poet', 'Ghalib', 'saying', 'madness', 'eccentric', 'behavior', 'reason', 'hidden', 'world', 'guiding', 'actions']"
मेरे हम-नफ़स मेरे हम-नवा मुझे दोस्त बन के दग़ा न दे मैं हूँ दर्द-ए-इश्क़ से जाँ-ब-लब मुझे ज़िंदगी की दुआ न दे,"{
""sher"": ""मेरे हम-नफ़स मेरे हम-नवा मुझे दोस्त बन के दग़ा न दे मैं हूँ दर्द-ए-इश्क़ से जाँ-ब-लब मुझे ज़िंदगी की दुआ न दे"",
""explanation"": ""This sher is a poignant expression of the pain of love. The poet is saying that their own soul (hum-nafs) and their own ego/self (hum-nava) have become their friends, and yet, they still deceive them. The poet is torn apart by the pain of love (dard-e-ishq) and is barely holding onto their life (jaan-ba-lab). They're asking not to be given the boon of life, implying that life without love is not worth living.""
}","This sher is a poignant expression of the pain of love. The poet is saying that their own soul (hum-nafs) and their own ego/self (hum-nava) have become their friends, and yet, they still deceive them. The poet is torn apart by the pain of love (dard-e-ishq) and is barely holding onto their life (jaan-ba-lab). They're asking not to be given the boon of life, implying that life without love is not worth living.","['sher', 'poignant', 'expression', 'pain', 'love', 'poet', 'saying', 'soul', 'hum', 'nafs', 'ego', 'self', 'hum', 'nava', 'friends', 'deceive', 'poet', 'torn', 'apart', 'pain', 'love', 'dard', 'e', 'ishq', 'barely', 'holding', 'life', 'jaan', 'ba', 'lab', 'asking', 'given', 'boon', 'life', 'implying', 'life', 'love', 'worth', 'living']","['sher', 'poignant', 'expression', 'pain', 'love', 'poet', 'saying', 'soul', 'hum', 'nafs', 'ego', 'self', 'hum', 'nava', 'friends', 'deceive', 'poet', 'torn', 'apart', 'pain', 'love', 'dard', 'e', 'ishq', 'barely', 'holding', 'life', 'jaan', 'ba', 'lab', 'asking', 'given', 'boon', 'life', 'implying', 'life', 'love', 'worth', 'living']","['sher', 'poignant', 'expression', 'pain', 'love', 'poet', 'saying', 'soul', 'hum', 'nafs', 'ego', 'self', 'hum', 'nava', 'friends', 'deceive', 'poet', 'torn', 'apart', 'pain', 'love', 'dard', 'e', 'ishq', 'barely', 'holding', 'life', 'jaan', 'ba', 'lab', 'asking', 'given', 'boon', 'life', 'implying', 'life', 'love', 'worth', 'living']","['sher', 'poignant', 'expression', 'pain', 'love', 'poet', 'saying', 'soul', 'hum', 'nafs', 'ego', 'self', 'hum', 'nava', 'friends', 'deceive', 'poet', 'torn', 'apart', 'pain', 'love', 'dard', 'e', 'ishq', 'barely', 'holding', 'life', 'jaan', 'ba', 'lab', 'asking', 'given', 'boon', 'life', 'implying', 'life', 'love', 'worth', 'living']","['sher', 'poignant', 'expression', 'pain', 'love', 'poet', 'saying', 'soul', 'hum', 'nafs', 'ego', 'self', 'hum', 'nava', 'friends', 'deceive', 'poet', 'torn', 'apart', 'pain', 'love', 'dard', 'e', 'ishq', 'barely', 'holding', 'life', 'jaan', 'ba', 'lab', 'asking', 'given', 'boon', 'life', 'implying', 'life', 'love', 'worth', 'living']","['sher', 'poignant', 'expression', 'pain', 'love', 'poet', 'saying', 'soul', 'hum', 'nafs', 'ego', 'self', 'hum', 'nava', 'friends', 'deceive', 'poet', 'torn', 'apart', 'pain', 'love', 'dard', 'e', 'ishq', 'barely', 'holding', 'life', 'jaan', 'ba', 'lab', 'asking', 'given', 'boon', 'life', 'implying', 'life', 'love', 'worth', 'living']"
दिल अभी पूरी तरह टूटा नहीं दोस्तों की मेहरबानी चाहिए,"{
""sher"": ""दिल अभी पूरी तरह टूटा नहीं दोस्तों की मेहरबानी चाहिए"",
""explanation"": ""The poet says that his heart is not fully broken yet, and he still needs the kindness of friends to help him through the pain.""
}","The poet says that his heart is not fully broken yet, and he still needs the kindness of friends to help him through the pain.","['poet', 'says', 'heart', 'fully', 'broken', 'needs', 'kindness', 'friends', 'help', 'pain']","['poet', 'says', 'heart', 'fully', 'broken', 'needs', 'kindness', 'friends', 'help', 'pain']","['poet', 'says', 'heart', 'fully', 'broken', 'needs', 'kindness', 'friends', 'help', 'pain']","['poet', 'says', 'heart', 'fully', 'broken', 'needs', 'kindness', 'friends', 'help', 'pain']","['poet', 'says', 'heart', 'fully', 'broken', 'needs', 'kindness', 'friends', 'help', 'pain']","['poet', 'says', 'heart', 'fully', 'broken', 'needs', 'kindness', 'friends', 'help', 'pain']"
अब तो जाते हैं बुत-कदे से 'मीर' फिर मिलेंगे अगर ख़ुदा लाया,"{
""sher"": ""अब तो जाते हैं बुत-कदे से 'मीर' फिर मिलेंगे अगर ख़ुदा लाया"",
""translation"": ""Now I'm leaving the idol's temple, O Meer, we'll meet again if God brings us together"",
""explanation"": ""The poet, Meer, is saying that he's leaving the temple or a place of worship, indicating a separation or a farewell. But he's hopeful that if it's God's will, they'll reunite again. The sher has a sense of resignation, acceptance, and submission to a higher power.""
}","The poet, Meer, is saying that he's leaving the temple or a place of worship, indicating a separation or a farewell. But he's hopeful that if it's God's will, they'll reunite again. The sher has a sense of resignation, acceptance, and submission to a higher power.","['poet', 'Meer', 'saying', 'leaving', 'temple', 'place', 'worship', 'indicating', 'separation', 'farewell', 'hopeful', 'God', 'reunite', 'sher', 'sense', 'resignation', 'acceptance', 'submission', 'higher', 'power']","['poet', 'Meer', 'saying', 'leaving', 'temple', 'place', 'worship', 'indicating', 'separation', 'farewell', 'hopeful', 'God', 'reunite', 'sher', 'sense', 'resignation', 'acceptance', 'submission', 'higher', 'power']","['poet', 'Meer', 'saying', 'leaving', 'temple', 'place', 'worship', 'indicating', 'separation', 'farewell', 'hopeful', 'God', 'reunite', 'sher', 'sense', 'resignation', 'acceptance', 'submission', 'higher', 'power']","['poet', 'Meer', 'saying', 'leaving', 'temple', 'place', 'worship', 'indicating', 'separation', 'farewell', 'hopeful', 'God', 'reunite', 'sher', 'sense', 'resignation', 'acceptance', 'submission', 'higher', 'power']","['poet', 'Meer', 'saying', 'leaving', 'temple', 'place', 'worship', 'indicating', 'separation', 'farewell', 'hopeful', 'God', 'reunite', 'sher', 'sense', 'resignation', 'acceptance', 'submission', 'higher', 'power']","['poet', 'Meer', 'saying', 'leaving', 'temple', 'place', 'worship', 'indicating', 'separation', 'farewell', 'hopeful', 'God', 'reunite', 'sher', 'sense', 'resignation', 'acceptance', 'submission', 'higher', 'power']"
तिरे माथे पे ये आँचल बहुत ही ख़ूब है लेकिन तू इस आँचल से इक परचम बना लेती तो अच्छा था,"{
""sher"": ""तिरे माथे पे ये आँचल बहुत ही ख़ूब है लेकिन तू इस आँचल से इक परचम बना लेती तो अच्छा था"",
""explanation"": ""The veil on your forehead looks very beautiful, but it would have been better if you had used it to make a flag (symbol of freedom/ revolution) instead.""
}","The veil on your forehead looks very beautiful, but it would have been better if you had used it to make a flag (symbol of freedom/ revolution) instead.","['veil', 'forehead', 'looks', 'beautiful', 'better', 'flag', 'symbol', 'freedom/', 'revolution', 'instead']","['veil', 'forehead', 'looks', 'beautiful', 'better', 'flag', 'symbol', 'freedom/', 'revolution', 'instead']","['veil', 'forehead', 'looks', 'beautiful', 'better', 'flag', 'symbol', 'freedom/', 'revolution', 'instead']","['veil', 'forehead', 'looks', 'beautiful', 'better', 'flag', 'symbol', 'freedom/', 'revolution', 'instead']","['veil', 'forehead', 'looks', 'beautiful', 'better', 'flag', 'symbol', 'freedom/', 'revolution', 'instead']","['veil', 'forehead', 'looks', 'beautiful', 'better', 'flag', 'symbol', 'freedom/', 'revolution', 'instead']"
मकतब-ए-इश्क़ का दस्तूर निराला देखा उस को छुट्टी न मिले जिस को सबक़ याद रहे,"{
""sher"": ""मकतब-ए-इश्क़ का दस्तूर निराला देखा उस को छुट्टी न मिले जिस को सबक़ याद रहे"",
""explanation"": ""The norms of the school of love are unique. One who hasn't learned the lessons of love can't be exempted, the one who remembers the lessons stays."",
""breakdown"": {
""maktab-e-ishq"": ""school of love"",
""dastoor"": ""norms/rules"",
""nirala"": ""unique/special"",
""dekha"": ""seen/experienced"",
""us ko"": ""to that person"",
""chutti"": ""exemption/holiday"",
""na mile"": ""can't get"",
""jis ko"": ""to whom"",
""sabak"": ""lesson"",
""yad rahe"": ""remembers""
}
}","The norms of the school of love are unique. One who hasn't learned the lessons of love can't be exempted, the one who remembers the lessons stays.","['norms', 'school', 'love', 'unique', 'learned', 'lessons', 'love', 'exempted', 'remembers', 'lessons', 'stays']","['norms', 'school', 'love', 'unique', 'learned', 'lessons', 'love', 'exempted', 'remembers', 'lessons', 'stays']","['norms', 'school', 'love', 'unique', 'learned', 'lessons', 'love', 'exempted', 'remembers', 'lessons', 'stays']","['norms', 'school', 'love', 'unique', 'learned', 'lessons', 'love', 'exempted', 'remembers', 'lessons', 'stays']","['norms', 'school', 'love', 'unique', 'learned', 'lessons', 'love', 'exempted', 'remembers', 'lessons', 'stays']","['norms', 'school', 'love', 'unique', 'learned', 'lessons', 'love', 'exempted', 'remembers', 'lessons', 'stays']"
ज़िंदगी क्या किसी मुफ़लिस की क़बा है जिस में हर घड़ी दर्द के पैवंद लगे जाते हैं,"{
""sher"": ""ज़िंदगी क्या किसी मुफ़लिस की क़बा है जिस में हर घड़ी दर्द के पैवंद लगे जाते हैं"",
""translation"": ""What is life, a tomb of a struggling person, where every moment, stitches of pain are sewn?"",
""explanation"": ""This sher compares life to a tomb, where one is constantly experiencing pain and struggles. Just as a tomb is a place where a person is buried, life is a place where one is buried under the weight of their own struggles and pain. The phrase 'दर्द के पैवंद लगे जाते हैं' suggests that every moment, pain is being added to one's life, like threads of a fabric being stitched together.""
}","This sher compares life to a tomb, where one is constantly experiencing pain and struggles. Just as a tomb is a place where a person is buried, life is a place where one is buried under the weight of their own struggles and pain. The phrase 'दर्द के पैवंद लगे जाते हैं' suggests that every moment, pain is being added to one's life, like threads of a fabric being stitched together.","['sher', 'compares', 'life', 'tomb', 'constantly', 'experiencing', 'pain', 'struggles', 'tomb', 'place', 'person', 'buried', 'life', 'place', 'buried', 'weight', 'struggles', 'pain', 'phrase', 'दर्द', 'के', 'पैवंद', 'लगे', 'जाते', 'हैं', 'suggests', 'moment', 'pain', 'added', 'life', 'like', 'threads', 'fabric', 'stitched']","['sher', 'compares', 'life', 'tomb', 'constantly', 'experiencing', 'pain', 'struggles', 'tomb', 'place', 'person', 'buried', 'life', 'place', 'buried', 'weight', 'struggles', 'pain', 'phrase', 'दर्द', 'के', 'पैवंद', 'लगे', 'जाते', 'हैं', 'suggests', 'moment', 'pain', 'added', 'life', 'like', 'threads', 'fabric', 'stitched']","['sher', 'compares', 'life', 'tomb', 'constantly', 'experiencing', 'pain', 'struggles', 'tomb', 'place', 'person', 'buried', 'life', 'place', 'buried', 'weight', 'struggles', 'pain', 'phrase', 'दर्द', 'के', 'पैवंद', 'लगे', 'जाते', 'हैं', 'suggests', 'moment', 'pain', 'added', 'life', 'like', 'threads', 'fabric', 'stitched']","['sher', 'compares', 'life', 'tomb', 'constantly', 'experiencing', 'pain', 'struggles', 'tomb', 'place', 'person', 'buried', 'life', 'place', 'buried', 'weight', 'struggles', 'pain', 'phrase', 'suggests', 'moment', 'pain', 'added', 'life', 'like', 'threads', 'fabric', 'stitched']","['sher', 'compares', 'life', 'tomb', 'constantly', 'experiencing', 'pain', 'struggles', 'tomb', 'place', 'person', 'buried', 'life', 'place', 'buried', 'weight', 'struggles', 'pain', 'phrase', 'suggests', 'moment', 'pain', 'added', 'life', 'like', 'threads', 'fabric', 'stitched']","['sher', 'compares', 'life', 'tomb', 'constantly', 'experiencing', 'pain', 'struggles', 'tomb', 'place', 'person', 'buried', 'life', 'place', 'buried', 'weight', 'struggles', 'pain', 'phrase', 'suggests', 'moment', 'pain', 'added', 'life', 'like', 'threads', 'fabric', 'stitched']"
घर से मस्जिद है बहुत दूर चलो यूँ कर लें किसी रोते हुए बच्चे को हँसाया जाए,"{
""sher"": "" घर से मस्जिद है बहुत दूर चलो यूँ कर लें किसी रोते हुए बच्चे को हँसाया जाए"",
""explanation"": ""The speaker is saying that the journey from home to the mosque is far, but let's try to console a crying child in such a way that it starts smiling. This sher is a metaphor, implying that just as a child's tears can be wiped away with love and care, our spiritual journey can also be made easier with patience, perseverance and compassion.""
}","The speaker is saying that the journey from home to the mosque is far, but let's try to console a crying child in such a way that it starts smiling. This sher is a metaphor, implying that just as a child's tears can be wiped away with love and care, our spiritual journey can also be made easier with patience, perseverance and compassion.","['speaker', 'saying', 'journey', 'home', 'mosque', 'far', 'let', 'try', 'console', 'crying', 'child', 'way', 'starts', 'smiling', 'sher', 'metaphor', 'implying', 'child', 'tears', 'wiped', 'away', 'love', 'care', 'spiritual', 'journey', 'easier', 'patience', 'perseverance', 'compassion']","['speaker', 'saying', 'journey', 'home', 'mosque', 'far', 'let', 'try', 'console', 'crying', 'child', 'way', 'starts', 'smiling', 'sher', 'metaphor', 'implying', 'child', 'tears', 'wiped', 'away', 'love', 'care', 'spiritual', 'journey', 'easier', 'patience', 'perseverance', 'compassion']","['speaker', 'saying', 'journey', 'home', 'mosque', 'far', 'let', 'try', 'console', 'crying', 'child', 'way', 'starts', 'smiling', 'sher', 'metaphor', 'implying', 'child', 'tears', 'wiped', 'away', 'love', 'care', 'spiritual', 'journey', 'easier', 'patience', 'perseverance', 'compassion']","['speaker', 'saying', 'journey', 'home', 'mosque', 'far', 'let', 'try', 'console', 'crying', 'child', 'way', 'starts', 'smiling', 'sher', 'metaphor', 'implying', 'child', 'tears', 'wiped', 'away', 'love', 'care', 'spiritual', 'journey', 'easier', 'patience', 'perseverance', 'compassion']","['speaker', 'saying', 'journey', 'home', 'mosque', 'far', 'let', 'try', 'console', 'crying', 'child', 'way', 'starts', 'smiling', 'sher', 'metaphor', 'implying', 'child', 'tears', 'wiped', 'away', 'love', 'care', 'spiritual', 'journey', 'easier', 'patience', 'perseverance', 'compassion']","['speaker', 'saying', 'journey', 'home', 'mosque', 'far', 'let', 'try', 'console', 'crying', 'child', 'way', 'starts', 'smiling', 'sher', 'metaphor', 'implying', 'child', 'tears', 'wiped', 'away', 'love', 'care', 'spiritual', 'journey', 'easier', 'patience', 'perseverance', 'compassion']"
सरफ़रोशी की तमन्ना अब हमारे दिल में है देखना है ज़ोर कितना बाज़ू-ए-क़ातिल में है,"{
""sher"": ""सरफ़रोशी की तमन्ना अब हमारे दिल में है देखना है ज़ोर कितना बाज़ू-ए-क़ातिल में है"",
""translation"": ""The desire for martyrdom now resides in our hearts, let's see how much strength there is in the arms of our executioner"",
""explanation"": ""This sher is saying that we have a strong desire to sacrifice ourselves for the cause, and now it's time to test the strength of our opponent who is trying to kill us. It's a call to bravery and defiance in the face of adversity.""
}","This sher is saying that we have a strong desire to sacrifice ourselves for the cause, and now it's time to test the strength of our opponent who is trying to kill us. It's a call to bravery and defiance in the face of adversity.","['sher', 'saying', 'strong', 'desire', 'sacrifice', 'cause', 'time', 'test', 'strength', 'opponent', 'trying', 'kill', 'bravery', 'defiance', 'face', 'adversity']","['sher', 'saying', 'strong', 'desire', 'sacrifice', 'cause', 'time', 'test', 'strength', 'opponent', 'trying', 'kill', 'bravery', 'defiance', 'face', 'adversity']","['sher', 'saying', 'strong', 'desire', 'sacrifice', 'cause', 'time', 'test', 'strength', 'opponent', 'trying', 'kill', 'bravery', 'defiance', 'face', 'adversity']","['sher', 'saying', 'strong', 'desire', 'sacrifice', 'cause', 'time', 'test', 'strength', 'opponent', 'trying', 'kill', 'bravery', 'defiance', 'face', 'adversity']","['sher', 'saying', 'strong', 'desire', 'sacrifice', 'cause', 'time', 'test', 'strength', 'opponent', 'trying', 'kill', 'bravery', 'defiance', 'face', 'adversity']","['sher', 'saying', 'strong', 'desire', 'sacrifice', 'cause', 'time', 'test', 'strength', 'opponent', 'trying', 'kill', 'bravery', 'defiance', 'face', 'adversity']"
दिल के फफूले जल उठे सीने के दाग़ से इस घर को आग लग गई घर के चराग़ से,"{
""sher"": ""दिल के फफूले जल उठे सीने के दाग़ से इस घर को आग लग गई घर के चराग़ से"",
""translation"": ""The flames of the heart's wounds have risen, the embers of the chest's scars have set this house on fire with the lamp of the house itself."",
""explanation"": ""This sher is a metaphorical expression of the pain and suffering caused by the memories of past heartaches. The 'dil ke phool' (heart's wounds) and 'seene ke daag' (chest's scars) refer to the emotional scars left by past experiences. The 'ghar' (house) symbolizes the person's inner world, and the 'charaag' (lamp) represents the memories that are burning with intensity. The sher suggests that the pain of the past has been reignited, and it's consuming the person from within, destroying their inner peace and happiness.""",This sher is a metaphorical expression of the pain and suffering caused by the memories of past heartaches. The 'dil ke phool' (heart's wounds) and 'seene ke daag' (chest's scars) refer to the emotional scars left by past experiences. The 'ghar' (house) symbolizes the person's inner world.,"['sher', 'metaphorical', 'expression', 'pain', 'suffering', 'caused', 'memories', 'past', 'heartaches', 'dil', 'ke', 'phool', 'heart', 'wounds', 'seene', 'ke', 'daag', 'chest', 'scars', 'refer', 'emotional', 'scars', 'left', 'past', 'experiences', 'ghar', 'house', 'symbolizes', 'person', 'inner', 'world']","['sher', 'metaphorical', 'expression', 'pain', 'suffering', 'caused', 'memories', 'past', 'heartaches', 'dil', 'ke', 'phool', 'heart', 'wounds', 'seene', 'ke', 'daag', 'chest', 'scars', 'refer', 'emotional', 'scars', 'left', 'past', 'experiences', 'ghar', 'house', 'symbolizes', 'person', 'inner', 'world']","['sher', 'metaphorical', 'expression', 'pain', 'suffering', 'caused', 'memories', 'past', 'heartaches', 'dil', 'ke', 'phool', 'heart', 'wounds', 'seene', 'ke', 'daag', 'chest', 'scars', 'refer', 'emotional', 'scars', 'left', 'past', 'experiences', 'ghar', 'house', 'symbolizes', 'person', 'inner', 'world']","['sher', 'metaphorical', 'expression', 'pain', 'suffering', 'caused', 'memories', 'past', 'heartaches', 'dil', 'ke', 'phool', 'heart', 'wounds', 'seene', 'ke', 'daag', 'chest', 'scars', 'refer', 'emotional', 'scars', 'left', 'past', 'experiences', 'ghar', 'house', 'symbolizes', 'person', 'inner', 'world']","['sher', 'metaphorical', 'expression', 'pain', 'suffering', 'caused', 'memories', 'past', 'heartaches', 'dil', 'ke', 'phool', 'heart', 'wounds', 'seene', 'ke', 'daag', 'chest', 'scars', 'refer', 'emotional', 'scars', 'left', 'past', 'experiences', 'ghar', 'house', 'symbolizes', 'person', 'inner', 'world']","['sher', 'metaphorical', 'expression', 'pain', 'suffering', 'caused', 'memories', 'past', 'heartaches', 'dil', 'ke', 'phool', 'heart', 'wounds', 'seene', 'ke', 'daag', 'chest', 'scars', 'refer', 'emotional', 'scars', 'left', 'past', 'experiences', 'ghar', 'house', 'symbolizes', 'person', 'inner', 'world']"
हम ने माना कि तग़ाफ़ुल न करोगे लेकिन ख़ाक हो जाएँगे हम तुम को ख़बर होते तक,"{
""sher"": ""हम ने माना कि तग़ाफ़ुल न करोगे लेकिन ख़ाक हो जाएँगे हम तुम को ख़बर होते तक"",
""explanation"": ""We have accepted that you won't remember us, but we will be reduced to dust by the time you get to know. The speaker has resigned to the fact that the beloved won't reciprocate their feelings or remember them, but they know that by the time the beloved realizes their mistake, the speaker will be long gone, reduced to nothing but dust and ashes.""
}","We have accepted that you won't remember us, but we will be reduced to dust by the time you get to know. The speaker has resigned to the fact that the beloved won't reciprocate their feelings or remember them, but they know that by the time the beloved realizes their mistake, the speaker will be long gone, reduced to nothing but dust and ashes.","['accepted', 'wo', 'remember', 'reduced', 'dust', 'time', 'know', 'speaker', 'resigned', 'fact', 'beloved', 'wo', 'reciprocate', 'feelings', 'remember', 'know', 'time', 'beloved', 'realizes', 'mistake', 'speaker', 'long', 'gone', 'reduced', 'dust', 'ashes']","['accepted', 'wo', 'remember', 'reduced', 'dust', 'time', 'know', 'speaker', 'resigned', 'fact', 'beloved', 'wo', 'reciprocate', 'feelings', 'remember', 'know', 'time', 'beloved', 'realizes', 'mistake', 'speaker', 'long', 'gone', 'reduced', 'dust', 'ashes']","['accepted', 'wo', 'remember', 'reduced', 'dust', 'time', 'know', 'speaker', 'resigned', 'fact', 'beloved', 'wo', 'reciprocate', 'feelings', 'remember', 'know', 'time', 'beloved', 'realizes', 'mistake', 'speaker', 'long', 'gone', 'reduced', 'dust', 'ashes']","['accepted', 'wo', 'remember', 'reduced', 'dust', 'time', 'know', 'speaker', 'resigned', 'fact', 'beloved', 'wo', 'reciprocate', 'feelings', 'remember', 'know', 'time', 'beloved', 'realizes', 'mistake', 'speaker', 'long', 'gone', 'reduced', 'dust', 'ashes']","['accepted', 'wo', 'remember', 'reduced', 'dust', 'time', 'know', 'speaker', 'resigned', 'fact', 'beloved', 'wo', 'reciprocate', 'feelings', 'remember', 'know', 'time', 'beloved', 'realizes', 'mistake', 'speaker', 'long', 'gone', 'reduced', 'dust', 'ashes']","['accepted', 'wo', 'remember', 'reduced', 'dust', 'time', 'know', 'speaker', 'resigned', 'fact', 'beloved', 'wo', 'reciprocate', 'feelings', 'remember', 'know', 'time', 'beloved', 'realizes', 'mistake', 'speaker', 'long', 'gone', 'reduced', 'dust', 'ashes']"
कभी यक-ब-यक तुम्हें ग़म बी ग़म हो जाता कभी ज़िंदगी तो किसी की ज़िंदगी हो जाती,"{
""sher"": ""कभी यक-ब-यक तुम्हें ग़म बी ग़म हो जाता कभी ज़िंदगी तो किसी की ज़िंदगी हो जाती"",
""explanation"": ""Sometimes your sorrows merge with someone else's sorrows and become one, and sometimes your life becomes someone else's life."",
""breakdown"": {
""कभी"": ""Sometimes"",
""यक-ब-यक"": ""merge/blend together"",
""तुम्हें"": ""your"",
""ग़म"": ""sorrows"",
""बी"": ""also"",
""ग़म"": ""sorrows"",
""हो जाता"": ""become/merge"",
""कभी"": ""sometimes"",
""ज़िंदगी"": ""life"",
""तो"": ""and"",
""किसी की"": ""someone else's"",
""ज़िंदगी"": ""life"",
""हो जाती"": ""becomes""
}
}","Sometimes your sorrows merge with someone else's sorrows and become one, and sometimes your life becomes someone else's life.","['sorrows', 'merge', 'sorrows', 'life', 'life']","['sorrows', 'merge', 'sorrows', 'life', 'life']","['sorrows', 'merge', 'sorrows', 'life', 'life']","['sorrows', 'merge', 'sorrows', 'life', 'life']","['sorrows', 'merge', 'sorrows', 'life', 'life']","['sorrows', 'merge', 'sorrows', 'life', 'life']"
